Lemma,Part of Speech Code,Full Citation Form,BDAG Entry,Danker Entry,Dodson Entry,Mounce Entry,Strongs,GK,Dodson Part of Speech Code,Gloss,Mounce MorphCat,root,verbs,Part of Speech
θήκη,N,"θήκη, ης, ἡ",θήκη,"θήκη, ης, ἡ","θήκη, ῆς, ἡ",θήκη,2336,2557,N:F,"a scabbard, sheath, receptacle",n-1b,,,Noun
θηλάζω,V,,θηλάζω,θηλάζω,θηλάζω,θηλάζω,2337,2558,V,"I give suck, suck",v-2a(1),,,Verb
θῆλυς,A,"θῆλυς, εια, υ",θῆλυς,"θῆλυς, εια, υ","θῆλυς, εια, υ",θῆλυς,2338,2559,A,female,a-2b,,,Adjective
θήρα,N,"θήρα, ας, ἡ",θήρα,"θήρα, ας, ἡ","θήρα, ας, ἡ",θήρα,2339,2560,N:F,"hunting, entrapping",n-1a,,,Noun
θηρεύω,V,,θηρεύω,θηρεύω,θηρεύω,θηρεύω,2340,2561,V,"I hunt, seek to catch",v-1a(6),,,Verb
θηριομαχέω,V,,θηριομαχέω,θηριομαχέω,θηριομαχέω,θηριομαχέω,2341,2562,V,I fight with wild beasts,v-1d(2a),,,Verb
θηρίον,N,"θηρίον, ου, τό",θηρίον,"θηρίον, ου, τό","θηρίον, ου, τό",θηρίον,2342,2563,N:N,"a wild beast, animal",n-2c,,,Noun
θησαυρίζω,V,,θησαυρίζω,θησαυρίζω,θησαυρίζω,θησαυρίζω,2343,2564,V,"I store up, treasure up, save",v-2a(1),,,Verb
θησαυρός,N,"θησαυρός, οῦ, ὁ",θησαυρός,"θησαυρός, οῦ, ὁ","θησαυρός, οῦ, ὁ",θησαυρός,2344,2565,N:M,"a treasure, store",n-2a,,,Noun
θιγγάνω,V,,θιγγάνω,θιγγάνω,θιγγάνω,θιγγάνω,2345,2566,V,"I touch, handle",v-3a(2b),,,Verb
θλίβω,V,,θλίβω,θλίβω,θλίβω,θλίβω,2346,2567,V,"I make narrow, persecute, press hard",v-1b(1),,,Verb
θλῖψις,N,"θλῖψις, εως, ἡ",θλῖψις,"θλῖψις, εως, ἡ","θλῖψις, εως, ἡ",θλῖψις,2347,2568,N:F,"persecution, affliction, distress",n-3e(5b),,,Noun
θνῄσκω,V,,θνῄσκω,θνῄσκω,θνῄσκω,θνῄσκω,2348,2569,V,"I am dying, am dead",v-5a; v-7,,,Verb
θνητός,A,"θνητός, ή, όν",θνητός,"θνητός, ή, όν","θνητός, ή, όν",θνητός,2349,2570,A,mortal,a-1a(2a),,,Adjective
θορυβάζω,V,,θορυβάζω,θορυβάζω,,θορυβάζω,,2571,,,v-2a(1),,,Verb
θορυβέω,V,,θορυβέω,θορυβέω,θορυβέω,θορυβέω,2350,2572,V,"I disturb greatly, terrify, strike with panic",v-1d(2a),,,Verb
θόρυβος,N,"θόρυβος, ου, ὁ",θόρυβος,"θόρυβος, ου, ὁ","θόρυβος, ου, ὁ",θόρυβος,2351,2573,N:M,"confused noise, riot, disturbance",n-2a,,,Noun
θραύω,V,,θραύω,θραύω,θραύω,θραύω,2352,2575,V,"I crush, break, shatter",v-1a(5),,,Verb
θρέμμα,N,"θρέμμα, ατος, τό",θρέμμα,"θρέμμα, ατος, τό","θρέμμα, ατος, τό",θρέμμα,2353,2576,N:N,cattle,n-3c(4),,,Noun
θρηνέω,V,,θρηνέω,θρηνέω,θρηνέω,θρηνέω,2354,2577,V,"I wail, lament",v-1d(2a),,,Verb
θρησκεία,N,"θρησκεία, ας, ἡ",θρησκεία,"θρησκεία, ας, ἡ","θρησκεία, ας, ἡ",θρησκεία,2356,2579,N:F,"ritual worship, religion",n-1a,,,Noun
θρησκός,A,"θρησκός, όν",θρησκός,"θρησκός, όν","θρῆσκος, ον",θρησκός,2357,2580,A,religious,a-3a,,,Adjective
θριαμβεύω,V,,θριαμβεύω,θριαμβεύω,θριαμβεύω,θριαμβεύω,2358,2581,V,"I lead around, make a spectacle of",v-1a(6),,,Verb
θρίξ,N,"θρίξ, τριχός, ἡ",θρίξ,"θρίξ, τριχός, ἡ","θρίξ, τριχός, ἡ",θρίξ,2359,2582,N:F,a hair,n-3b(3),,,Noun
θροέομαι,V,,θροέω,θροέω,θροέω,θροέω,2360,2583,V,"I disturb, agitate",v-1d(2a),,,Verb
θρόμβος,N,"θρόμβος, ου, ὁ",θρόμβος,"θρόμβος, ου, ὁ","θρόμβος, ου, ὁ",θρόμβος,2361,2584,N:M,"a clot, large drop",n-2a,,,Noun
θρόνος,N,"θρόνος, ου, ὁ",θρόνος,"θρόνος, ου, ὁ","θρόνος, ου, ὁ",θρόνος,2362,2585,N:M,"a throne, seat",n-2a,,,Noun
Θυάτειρα,N,"Θυάτειρα, ων, τά",Θυάτειρα,"Θυάτειρα, ων, τά","Θυάτειρα, ων, τά",Θυάτειρα,2363,2587,N:N,Thyatira,n-2c,,,Noun
θυγάτηρ,N,"θυγάτηρ, ατρός, ἡ",θυγάτηρ,"θυγάτηρ, τρος, ἡ","θυγάτηρ, τρός, ἡ",θυγάτηρ,2364,2588,N:F,a daughter,n-3f(2c),,,Noun
θυγάτριον,N,"θυγάτριον, ου, τό",θυγάτριον,"θυγάτριον, ου, τό","θυγάτριον, ου, τό",θυγάτριον,2365,2589,N:N,a little daughter,n-2c,,,Noun
θύελλα,N,"θύελλα, ης, ἡ",θύελλα,"θύελλα, ης, ἡ","θύελλα, ης, ἡ",θύελλα,2366,2590,N:F,"a storm, tempest",n-1c,,,Noun
θύϊνος,A,"θύϊνος, η, ον",θύϊνος,"θύϊνος, η, ον","θύϊνος, η, ον",θύϊνος,2367,2591,A,of the citron tree,a-1a(2a),,,Adjective
θυμίαμα,N,"θυμίαμα, ατος, τό",θυμίαμα,"θυμίαμα, ατος, τό","θυμίαμα, ατος, τό",θυμίαμα,2368,2592,N:N,incense,n-3c(4),,,Noun
θυμιατήριον,N,"θυμιατήριον, ου, τό",θυμιατήριον,"θυμιατήριον, ου, τό","θυμιατήριον, ου, τό",θυμιατήριον,2369,2593,N:N,altar of incense,n-2c,,,Noun
θυμιάω,V,,θυμιάω,θυμιάω,θυμιάω,θυμιάω,2370,2594,V,I burn incense,v-1d(1b),,,Verb
θυμομαχέω,V,,θυμομαχέω,θυμομαχέω,θυμομαχέω,θυμομαχέω,2371,2595,V,I am furiously angry with,v-1d(2a),,,Verb
θυμόομαι,V,,θυμόω,θυμόω,θυμόω,θυμόω,2373,2597,V,"I provoke to anger, am full of angry passion",v-1d(3),,,Verb
θυμός,N,"θυμός, οῦ, ὁ",θυμός,"θυμός, οῦ, ὁ","θυμός, οῦ, ὁ",θυμός,2372,2596,N:M,"an outburst of passion, wrath",n-2a,,,Noun
θύρα,N,"θύρα, ας, ἡ",θύρα,"θύρα, ας, ἡ","θύρα, ας, ἡ",θύρα,2374,2598,N:F,"a door, opportunity",n-1a,,,Noun
θυρεός,N,"θυρεός, οῦ, ὁ",θυρεός,"θυρεός, οῦ, ὁ","θυρεός, οῦ, ὁ",θυρεός,2375,2599,N:M,a large shield,n-2a,,,Noun
θυρίς,N,"θυρίς, ίδος, ἡ",θυρίς,"θυρίς, ίδος, ἡ","θυρίς, ίδος, ἡ",θυρίς,2376,2600,N:F,a window-sill,n-3c(2),,,Noun
θυρωρός,N,"θυρωρός, οῦ, ὁ/ἡ",θυρωρός,"θυρωρός, οῦ, ὁ /ἡ","θυρωρός, οῦ, ὁ, ἡ",θυρωρός,2377,2601,"N:F,N:M","a door-keeper, porter",n-2a,,,Noun
θυσία,N,"θυσία, ας, ἡ",θυσία,"θυσία, ας, ἡ","θυσία, ας, ἡ",θυσία,2378,2602,N:F,a sacrifice,n-1a,,,Noun
θυσιαστήριον,N,"θυσιαστήριον, ου, τό",θυσιαστήριον,"θυσιαστήριον, ου, τό","θυσιαστήριον, ου, τό",θυσιαστήριον,2379,2603,N:N,an altar,n-2c,,,Noun
θύω,V,,θύω,θύω,θύω,θύω,2380,2604,V,"I sacrifice, kill",v-1a(4),,,Verb
Θωμᾶς,N,"Θωμᾶς, ᾶ, ὁ",Θωμᾶς,"Θωμᾶς, ᾶ, ὁ","Θωμᾶς, ᾶ, ὁ",Θωμᾶς,2381,2605,N:M,Thomas,n-1e,,,Noun
θώραξ,N,"θώραξ, ακος, ὁ",θώραξ,"θώραξ, ακος, ὁ","θώραξ, ακός, ὁ",θώραξ,2382,2606,N:M,a breast-plate,n-3b(1),,,Noun
Ἰάϊρος,N,"Ἰάϊρος, ου, ὁ",Ἰάϊρος,"Ἰάϊρος, ου, ὁ","Ἰάειρος, ου, ὁ",Ἰάϊρος,2383,2608,N:M,Jairus,n-2a,,,Noun
Ἰακώβ,N,"Ἰακώβ, ὁ",Ἰακώβ,"Ἰακώβ, ὁ","Ἰακώβ, ὁ",Ἰακώβ,2384,2609,N-PRI,Jacob,n-3g(2),,,Noun
Ἰάκωβος,N,"Ἰάκωβος, ου, ὁ",Ἰάκωβος,"Ἰάκωβος, ου, ὁ","Ἰάκωβος, ου, ὁ",Ἰάκωβος,2385,2610,N:M,James,n-2a,,,Noun
ἴαμα,N,"ἴαμα, ατος, τό",ἴαμα,"ἴαμα, ατος, τό","ἴαμα, ατος, τό",ἴαμα,2386,2611,N:N,"healing, curing",n-3c(4),,,Noun
Ἰαμβρῆς,N,"Ἰαμβρῆς, ου, ὁ",Ἰαμβρῆς,"Ἰαμβρῆς, ὁ","Ἰαμβρῆς, ου, ὁ",Ἰαμβρῆς,2387,2612,N:M,Jambres,n-1f,,,Noun
Ἰανναί,N,"Ἰανναί, ὁ",Ἰανναί,"Ἰανναί, ὁ","Ἰαννά, ὁ",Ἰανναί,2388,2613,N-PRI,Jannai,n-3g(2),,,Noun
Ἰάννης,N,"Ἰάννης, ου, ὁ",Ἰάννης,"Ἰάννης, ὁ","Ἰαννῆς, ου, ὁ",Ἰάννης,2389,2614,N:M,Jannes,n-1f,,,Noun
ἰάομαι,V,,ἰάομαι,ἰάομαι,ἰάομαι,ἰάομαι,2390,2615,V,I heal,v-1d(1b),,,Verb
Ἰάρετ,N,"Ἰάρετ, ὁ",Ἰάρετ,"Ἰάρετ, ὁ","Ἰαρέδ, ὁ",Ἰάρετ,2391,2616,N-PRI,Jared,n-3g(2),,,Noun
ἴασις,N,"ἴασις, εως, ἡ",ἴασις,"ἴασις, εως, ἡ","ἴασις, εως, ἡ",ἴασις,2392,2617,N:F,"a cure, healing",n-3e(5b),,,Noun
ἴασπις,N,"ἴασπις, ιδος, ἡ",ἴασπις,"ἴασπις, ιδος, ἡ","ἴασπις, ιδος, ἡ",ἴασπις,2393,2618,N:F,jasper,n-3c(2),,,Noun
Ἰάσων,N,"Ἰάσων, ονος, ὁ",Ἰάσων,"Ἰάσων, ονος, ὁ","Ἰάσων, ονος, ὁ",Ἰάσων,2394,2619,N:M,Jason,n-3f(1b),,,Noun
ἰατρός,N,"ἰατρός, οῦ, ὁ",ἰατρός,"ἰατρός, οῦ, ὁ","ἰατρός, οῦ, ὁ",ἰατρός,2395,2620,N:M,a physician,n-2a,,,Noun
ἴδε,X/V,,ἴδε,ἴδε,ἴδε,ἴδε,2396,2623,INJ,See! Lo! Behold! Look!,,,,Particle
ἴδιος,A,"ἴδιος, α, ον",ἴδιος,"ἴδιος, α, ον","ἴδιος, α, ν",ἴδιος,2398,2625,A,"one's own, private, personal",a-1a(1),,,Adjective
ἰδιώτης,N,"ἰδιώτης, ου, ὁ",ἰδιώτης,"ἰδιώτης, ου, ὁ","ἰδιώτης, ου, ὁ",ἰδιώτης,2399,2626,N:M,"an amateur, layman",n-1f,,,Noun
ἰδού,X/V,,ἰδού,ἰδού,ἰδού,ἰδού,2400,2627,V,See! Lo! Behold! Look!,??,,,Particle
Ἰδουμαία,N,"Ἰδουμαία, ας, ἡ",Ἰδουμαία,"Ἰδουμαία, ας, ἡ","Ἰδουμαία, ας, ἡ",Ἰδουμαία,2401,2628,N:F,"Idumea, Edom",n-1a,,,Noun
ἱδρώς,N,"ἱδρώς, ῶτος, ὁ",ἱδρώς,"ἱδρώς, ῶτος, ὁ","ἱδρώς, ῶτος, ὁ",ἱδρώς,2402,2629,N:M,"sweat, perspiration",n-3c(1),,,Noun
Ἰεζάβελ,N,"Ἰεζάβελ, ἡ",Ἰεζάβελ,"Ἰεζάβελ, ἡ","Ἰεζάβελ, ἡ",Ἰεζάβελ,2403,2630,N-PRI,Jezebel,n-3g(2),,,Noun
Ἱεράπολις,N,"Ἱεράπολις, εως, ἡ",Ἱεράπολις,"Ἱεράπολις, εως, ἡ","Ἱεράπολις, εως, ἡ",Ἱεράπολις,2404,2631,N:F,Hierapolis,n-3e(5b),,,Noun
ἱερατεία,N,"ἱερατεία, ας, ἡ",ἱερατεία,"ἱερατεία, ας, ἡ","ἱερατεία, ας, ἡ",ἱερατεία,2405,2632,N:F,the duty of a priest,n-1a,,,Noun
ἱεράτευμα,N,"ἱεράτευμα, ατος, τό",ἱεράτευμα,"ἱεράτευμα, ατος, τό","ἱεράτευμα, ατος, τό",ἱεράτευμα,2406,2633,N:N,the act or office of priesthood,n-3c(4),,,Noun
ἱερατεύω,V,,ἱερατεύω,ἱερατεύω,ἱερατεύω,ἱερατεύω,2407,2634,V,I serve as priest,v-1a(6),,,Verb
Ἰερεμίας,N,"Ἰερεμίας, ου, ὁ",Ἰερεμίας,"Ἰερεμίας, ου, ὁ","Ἰερεμίας, ου, ὁ",Ἰερεμίας,2408,2635,N:M,Jeremiah,n-1d,,,Noun
ἱερεύς,N,"ἱερεύς, έως, ὁ",ἱερεύς,"ἱερεύς, έως, ὁ","ἱερεύς, έως, ὁ",ἱερεύς,2409,2636,N:M,a priest,n-3e(3),,,Noun
Ἰεριχώ,N,"Ἰεριχώ, ἡ",Ἰεριχώ,"Ἰεριχώ, ἡ","Ἰεριχώ, ἡ",Ἰεριχώ,2410,2637,N-PRI,Jericho,n-3g(2),,,Noun
ἱερόθυτος,A,"ἱερόθυτος, ον",ἱερόθυτος,"ἱερόθυτος, ον",,ἱερόθυτος,,2638,,,a-3a,,,Adjective
ἱερόν,A/N,"ἱερόν, οῦ, τό",ἱερόν,"ἱερόν, οῦ, τό","ἱερόν, οῦ, τό",ἱερόν,2411,2639,N:N,a temple,n-2c,,,
ἱεροπρεπής,A,"ἱεροπρεπής, ες",ἱεροπρεπής,"ἱεροπρεπής, ες","ἱεροπρεπής, ές",ἱεροπρεπής,2412,2640,A,"suitable to a sacred character, reverent",a-4a,,,Adjective
ἱερός,A,"ἱερός, ά, όν",ἱερός,"ἱερός, ά, όν","ἱερός, ά, όν",ἱερός,2413,2641,A,"sacred, holy",a-1a(1),,,Adjective
Ἱεροσόλυμα,N,"Ἱεροσόλυμα, ων, τά",Ἱεροσόλυμα,"Ἱεροσόλυμα, τά /ἡ and Ἰερουσαλήμ, ἡ","Ἱεροσόλυμα, ατος, τά, ἡ","Ἱεροσόλυμα, Ἱεροσόλυμα/2",2414,2642,"N:F,N:N",Jerusalem,n-1a;n-2c,,,Noun
Ἱεροσολυμίτης,N,"Ἱεροσολυμίτης, ου, ὁ",Ἱεροσολυμίτης,"Ἱεροσολυμίτης, ου, ὁ","Ἱεροσολυμίτης, ου, ὁ",Ἱεροσολυμίτης,2415,2643,N:M,an inhabitant of Jerusalem,n-1f,,,Noun
ἱεροσυλέω,V,,ἱεροσυλέω,ἱεροσυλέω,ἱεροσυλέω,ἱεροσυλέω,2416,2644,V,I commit sacrilege,v-1d(2a),,,Verb
ἱερόσυλος,A,"ἱερόσυλος, ον",ἱερόσυλος,"ἱερόσυλος, ον","ἱερόσυλος, ον",ἱερόσυλος,2417,2645,A,"robbing temples, sacrilegious",n-2a,,,Adjective
ἱερουργέω,V,,ἱερουργέω,ἱερουργέω,ἱερουργέω,ἱερουργέω,2418,2646,V,I minister in holy things,cv-1d(2a),,,Verb
Ἰερουσαλήμ,N,"Ἰερουσαλήμ, ἡ",Ἰερουσαλήμ,"Ἰερουσαλήμ, ἡ","Ἱερουσαλήμ, ἡ",Ἰερουσαλήμ,2419,2647,N-PRI,Jerusalem,n-3g(2),,,Noun
ἱερωσύνη,N,"ἱερωσύνη, ης, ἡ",ἱερωσύνη,"ἱερωσύνη, ης, ἡ","ἱερωσύνη, ης, ἡ",ἱερωσύνη,2420,2648,N:F,the priestly office,n-1b,,,Noun
Ἰεσσαί,N,"Ἰεσσαί, ὁ",Ἰεσσαί,"Ἰεσσαί, ὁ","Ἰεσσαί, ὁ",Ἰεσσαί,2421,2649,N-PRI,Jesse,n-3g(2),,,Noun
Ἰεφθάε,N,"Ἰεφθάε, ὁ",Ἰεφθάε,"Ἰεφθάε, ὁ","Ἰεφθάε, ὁ",Ἰεφθάε,2422,2650,N-PRI,Jephthah,n-3g(2),,,Noun
Ἰεχονίας,N,"Ἰεχονίας, ου, ὁ",Ἰεχονίας,"Ἰεχονίας, ου, ὁ","Ἰεχονίας, ου, ὁ",Ἰεχονίας,2423,2651,N:M,Jechoniah,n-1d,,,Noun
Ἰησοῦς,N,"Ἰησοῦς, οῦ, ὁ, acc. οῦν, dat. οῦ, voc. οῦ",Ἰησοῦς,"Ἰησοῦς, gen. οῦ, dat. οῦ, acc. οῦν, voc. οῦ, ὁ","Ἰησοῦς, οῦ, ὁ",Ἰησοῦς,2424,2652,N:M,Jesus,n-3g(1),,,Noun
ἱκανός,A,"ἱκανός, ή, όν",ἱκανός,"ἱκανός, ή, όν","ἱκανός, ή, όν",ἱκανός,2425,2653,A,"sufficient, worthy, many, much",a-1a(2a),,,Adjective
ἱκανότης,N,"ἱκανότης, ητος, ἡ",ἱκανότης,"ἱκανότης, ητος, ἡ","ἱκανότης, ητος, ἡ",ἱκανότης,2426,2654,N:F,"sufficiency, ability, power",n-3c(1),,,Noun
ἱκανόω,V,,ἱκανόω,ἱκανόω,ἱκανόω,ἱκανόω,2427,2655,V,I make sufficient,v-1d(3),,,Verb
ἱκετηρία,N,"ἱκετηρία, ας, ἡ",ἱκετηρία,"ἱκετηρία, ας, ἡ","ἱκετηρία, ας, ἡ",ἱκετηρία,2428,2656,N:F,"supplication, entreaty",n-1a,,,Noun
ἰκμάς,N,"ἰκμάς, άδος, ἡ",ἰκμάς,"ἰκμάς, άδος, ἡ","ἰκμάς, άδος, ἡ",ἰκμάς,2429,2657,N:F,moisture,n-3c(2),,,Noun
Ἰκόνιον,N,"Ἰκόνιον, ου, τό",Ἰκόνιον,"Ἰκόνιον, ου, τό","Ἰκόνιον, ου, τό",Ἰκόνιον,2430,2658,N:N,Iconium,n-2c,,,Noun
ἱλαρός,A,"ἱλαρός, ά, όν",ἱλαρός,"ἱλαρός, ά, όν","ἱλαρός, ά, όν",ἱλαρός,2431,2659,A,"joyous, cheerful",a-1a(1),,,Adjective
ἱλαρότης,N,"ἱλαρότης, ητος, ἡ",ἱλαρότης,"ἱλαρότης, ητος, ἡ","ἱλαρότης, ητος, ἡ",ἱλαρότης,2432,2660,N:F,cheerfulness,n-3c(1),,,Noun
ἱλάσκομαι,V,,ἱλάσκομαι,ἱλάσκομαι,ἱλάσκομαι,ἱλάσκομαι,2433,2661,V,"I have mercy on, forgive",v-5a,,,Verb
ἱλασμός,N,"ἱλασμός, οῦ, ὁ",ἱλασμός,"ἱλασμός, οῦ, ὁ","ἱλασμός, οῦ, ὁ",ἱλασμός,2434,2662,N:M,"a propitiation, atoning sacrifice",n-2a,,,Noun
ἱλαστήριον,A/N,"ἱλαστήριον, ου, τό",ἱλαστήριον,"ἱλαστήριον, ου, τό","ἱλαστήριον, ου, τό",ἱλαστήριον,2435,2663,N:N,"a sin offering, covering",n-2c,,,Adjective
ἵλεως,A,"ἵλεως, nt. (Attic 2 decl.) ων",ἵλεως,"ἵλεως, nt. (Attic 2 decl.) ων",ἵλεως,ἵλεως,2436,2664,A,"propitious, forgiving",a-5,,,Adjective
Ἰλλυρικόν,N,"Ἰλλυρικόν, οῦ, τό",Ἰλλυρικόν,"Ἰλλυρικόν, οῦ, τό","Ἰλλυρικόν, οῦ, τό",Ἰλλυρικόν,2437,2665,N:N,Illyricum,n-2c,,,Noun
ἱμάς,N,"ἱμάς, άντος, ὁ",ἱμάς,"ἱμάς, άντος, ὁ","ἱμάς, άντος, ὁ",ἱμάς,2438,2666,N:M,"a thong, strap",n-3c(5a),,,Noun
ἱματίζω,V,,ἱματίζω,ἱματίζω,ἱματίζω,ἱματίζω,2439,2667,V,I clothe,v-2a(1),,,Verb
ἱμάτιον,N,"ἱμάτιον, ου, τό",ἱμάτιον,"ἱμάτιον, ου, τό","ἱμάτιον, ου, τό",ἱμάτιον,2440,2668,N:N,outer garment,n-2c,,,Noun
ἱματισμός,N,"ἱματισμός, οῦ, ὁ",ἱματισμός,"ἱματισμός, οῦ, ὁ","ἱματισμός, οῦ, ὁ",ἱματισμός,2441,2669,N:M,"raiment, clothing",n-2a,,,Noun
ἵνα,C,,ἵνα,ἵνα,ἵνα,ἵνα,2443,2671,CONJ,"in order that, so that",conj,,,Conjunction
ἱνατί,D,,ἱνατί,ἱνατί,,ἱνατί,,2672,,,conj,,,Adverb
Ἰόππη,N,"Ἰόππη, ης, ἡ",Ἰόππη,"Ἰόππη, ης, ἡ","Ἰόππη, ης, ἡ",Ἰόππη,2445,2673,N:F,Joppa,n-1b,,,Noun
Ἰορδάνης,N,"Ἰορδάνης, ου, ὁ",Ἰορδάνης,"Ἰορδάνης, ου, ὁ","Ἰορδάνης, ου, ὁ",Ἰορδάνης,2446,2674,N:M,the Jordan,n-1f,,,Noun
ἰός,N,"ἰός, οῦ, ὁ",ἰός,"ἰός, οῦ, ὁ","ἰός, οῦ, ὁ",ἰός,2447,2675,N:M,"poison, rust",n-2a,,,Noun
Ἰουδαία,N,"Ἰουδαία, ας, ἡ",Ἰουδαία,"Ἰουδαία, ας, ἡ","Ἰουδαία, ας, ἡ",Ἰουδαία,2449,2677,N:F,Judea,n-1a,,,Noun
ἰουδαΐζω,V,,ἰουδαΐζω,ἰουδαΐζω,Ἰουδαΐζω,ἰουδαΐζω,2450,2678,V,I live as a Jew,??,,,Verb
Ἰουδαϊκός,A,"Ἰουδαϊκός, ή, όν",Ἰουδαϊκός,"Ἰουδαϊκός, ή, όν","Ἰουδαϊκός, ή, όν",Ἰουδαϊκός,2451,2679,A,"Jewish, Judaic",a-1a(2a),,,Adjective
Ἰουδαϊκῶς,D,,Ἰουδαϊκῶς,Ἰουδαϊκῶς,Ἰουδαϊκῶς,Ἰουδαϊκῶς,2452,2680,ADV,in the manner of Jews,adverb,,,Adverb
Ἰουδαῖος,A,"Ἰουδαῖος, α, ον",Ἰουδαῖος,"Ἰουδαῖος, α, ον","Ἰουδαῖος, αία, αῖον",Ἰουδαῖος,2453,2681,A,Jewish,a-1a(1),,,Adjective
Ἰουδαϊσμός,N,"Ἰουδαϊσμός, οῦ, ὁ",Ἰουδαϊσμός,"Ἰουδαϊσμός, οῦ, ὁ","Ἰουδαϊσμός, οῦ, ὁ",Ἰουδαϊσμός,2454,2682,N:M,"the Jewish religion, Judaism",n-2a,,,Noun
Ἰούδας,N,"Ἰούδας, α, ὁ",Ἰούδας,"Ἰούδας, α, ὁ","Ἰούδας, α, ὁ",Ἰούδας,2455,2683,N:M,"Judah, Judas, Jude",n-1e,,,Noun
Ἰουλία,N,"Ἰουλία, ας, ἡ",Ἰουλία,"Ἰουλία, ας, ἡ","Ἰουλία, ας, ἡ",Ἰουλία,2456,2684,N:F,Julia,n-1a,,,Noun
Ἰούλιος,N,"Ἰούλιος, ου, ὁ",Ἰούλιος,"Ἰούλιος, ου, ὁ","Ἰούλιος, ου, ὁ",Ἰούλιος,2457,2685,N:M,Julius,n-2a,,,Noun
Ἰουνία,N,"Ἰουνία, ας, ἡ",Ἰουνία,"Ἰουνία, ας, ἡ",,,,,,,,,,Noun
Ἰοῦστος,N,"Ἰοῦστος, ου, ὁ",Ἰοῦστος,"Ἰοῦστος, ου, ὁ","Ἰοῦστος, ου, ὁ",Ἰοῦστος,2459,2688,N:M,Justus,n-2a,,,Noun
ἱππεύς,N,"ἱππεύς, έως, ὁ",ἱππεύς,"ἱππεύς, έως, ὁ","ἱππεύς, έως, ὁ",ἱππεύς,2460,2689,N:M,a mounted soldier,n-3e(3),,,Noun
ἱππικόν,A,"ἱππικός, ή, όν",,"ἱππικός, ή, όν",,ἱππικός,,2690,,,,,,Adjective
ἵππος,N,"ἵππος, ου, ὁ",ἵππος,"ἵππος, ου, ὁ","ἵππος, ου, ὁ",ἵππος,2462,2691,N:M,a horse,n-2a,,,Noun
ἶρις,N,"ἶρις, ιδος, ἡ",ἶρις,"ἶρις, ιδος, ἡ","ἶρις, ιδος, ἡ",ὶρις,2463,2692,N:F,a rainbow,n-3c(2),,,Noun
Ἰσαάκ,N,"Ἰσαάκ, ὁ",Ἰσαάκ,"Ἰσαάκ, ὁ","Ἰσαάκ, ὁ",Ἰσαάκ,2464,2693,N-PRI,Isaac,n-3g(2),,,Noun
ἰσάγγελος,A,"ἰσάγγελος, ον",ἰσάγγελος,"ἰσάγγελος, ον","ἰσάγγελος, ον",ἰσάγγελος,2465,2694,A,like the angels,a-3a,,,Adjective
Ἰσκαριώθ,N,Ἰσκαριώθ,Ἰσκαριώθ,Ἰσκαριώθ,,Ἰσκαριώθ,,2696,,,n-3g(2),,,Noun
Ἰσκαριώτης,N,"Ἰσκαριώτης, ου, ὁ",,"Ἰσκαριώτης, ου, ὁ","Ἰσκαριώτης, ου, ὁ",Ἰσκαριώτης,2469,2697,N:M,"Iscariot, a man of Kerioth",??,,,Noun
ἴσος,A,"ἴσος, η, ον",ἴσος,"ἴσος, η, ον","ἴσος, η, ον",ἴσος,2470,2698,A,"equal, identical",a-1a(2a),,,Adjective
ἰσότης,N,"ἰσότης, ητος, ἡ",ἰσότης,"ἰσότης, ητος, ἡ","ἰσότης, ητος, ἡ",ἰσότης,2471,2699,N:F,equality,n-3c(1),,,Noun
ἰσότιμος,A,"ἰσότιμος, ον",ἰσότιμος,"ἰσότιμος, ον","ἰσότιμος, ον",ἰσότιμος,2472,2700,A,"equally privileged, equal",a-3a,,,Adjective
ἰσόψυχος,A,"ἰσόψυχος, ον",ἰσόψυχος,"ἰσόψυχος, ον","ἰσόψυχος, ον",ἰσόψυχος,2473,2701,A,like-minded,a-3a,,,Adjective
Ἰσραήλ,N,"Ἰσραήλ, ὁ",Ἰσραήλ,"Ἰσραήλ, ὁ","Ἰσραήλ, ὁ",Ἰσραήλ,2474,2702,N-PRI,Israel,n-3g(2),,,Noun
Ἰσραηλίτης,N,"Ἰσραηλίτης, ου, ὁ",Ἰσραηλίτης,"Ἰσραηλίτης, ου, ὁ","Ἰσραηλίτης, ου, ὁ",Ἰσραηλίτης,2475,2703,N:M,an Israelite,n-1f,,,Noun
Ἰσσαχάρ,N,"Ἰσσαχάρ, ὁ",Ἰσσαχάρ,"Ἰσσαχάρ, ὁ","Ἰσαχάρ, ὁ",Ἰσσαχάρ,2466,2704,N-PRI,Issachar,n-3g(2),,,Noun
ἵστημι,V,,ἵστημι,ἵστημι/ἱστάνω,ἵστημι,ἵστημι,2476,2705,V,"I cause to stand, stand",v-6a,*στα,"στήσω, ἔστησα (1st) / ἔστην (2nd), ἕστηκα, -, ἐστάθην",Verb
ἱστορέω,V,,ἱστορέω,ἱστορέω,ἱστορέω,ἱστορέω,2477,2707,V,"I get acquainted with, visit",v-1d(2a),,,Verb
ἰσχυρός,A,"ἰσχυρός, ά, όν",ἰσχυρός,"ἰσχυρός, ά, όν","ἰσχυρός, ά, όν",ἰσχυρός,2478,2708,A,"strong, mighty, powerful",a-1a(1),,,Adjective
